,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
ax_rms,8849.0,0.6872948509949199,0.5810682561049623,0.2732055310908832,0.428558318924382,0.4976263821427842,0.6531575863594898,5.024634497779123,3.4789961093619497,16.46787498707914
ax_kurt,8849.0,3.168116098562221,6.067764800694828,1.785183721075731,2.7830632030483646,2.994587322215702,3.2688187169928997,388.17138729725207,55.06704822607749,3286.4453813963996
ax_crest,8849.0,3.5678689133594768,0.8572992698054175,2.2019665868567473,3.2666618934356224,3.5057923033626737,3.7846884471733424,34.73274055088357,20.085970856963822,599.3414598354135
ax_spec_centroid,8849.0,301.82359338357054,78.34761430445522,47.434148707507845,248.766019914968,305.8570581841581,364.87398299021436,509.9467561503078,-0.35099873669616527,2.6178867295492485
ax_spec_spread,8849.0,269.5160543502753,52.251406452053054,86.61210804105875,248.53836034781727,273.40227737435947,306.57285950912075,391.7097854361534,-0.9172138652612531,3.897882287195524
ax_freq_median,8849.0,224.29264606170193,88.24326938747328,3.756009615384616,172.77644230769232,232.8725961538462,285.45673076923083,446.9651442307693,-0.38677987039329514,2.7272260127953736
ax_freq_rolloff85,8849.0,508.1568185670697,140.53913389762917,48.82812500000001,428.1850961538462,492.0372596153847,615.985576923077,901.4423076923078,-0.21637751708271746,2.675736903877112
rad_rms,8849.0,0.5435509064609162,0.5129022331763051,0.08568136480462911,0.18826344144384463,0.32803292405169776,0.7056934942735207,2.6496901960608863,1.5336381193868232,4.637864388339995
rad_kurt,8849.0,3.4018914119646615,1.3105852435668006,1.5226714940601123,2.3787559443036383,3.2068965515738976,4.19529195369514,21.972765549824647,1.3103156278971462,12.023371717904439
rad_crest,8849.0,4.193433796830248,1.2432605335840674,1.759708025138812,3.251389103901296,4.056806441358159,5.129172706864791,14.443821390368255,0.4304900370020876,3.372586922918386
rad_spec_centroid,8849.0,393.28212735828106,218.13994873399614,31.913086941419238,170.56560140192946,424.90870117552214,548.1433863864863,1042.5101645798072,0.07517441692908726,2.325548014050905
rad_spec_spread,8849.0,345.5447823572828,94.19854131171215,82.50717805302246,302.02508501321853,360.3575069962273,395.4711536156662,570.7600092894298,-0.43827862922190086,3.018410354079756
rad_freq_median,8849.0,311.6363172827004,262.2347598097478,3.756009615384616,48.82812500000001,296.72475961538464,465.7451923076924,1123.0468750000002,0.661978281936778,2.690085952546132
rad_freq_rolloff85,8849.0,726.8016553913089,416.1389870866315,18.78004807692308,375.6009615384616,901.4423076923078,999.0985576923078,1464.8437500000002,-0.6479428636898436,2.0441812319044828
tan_rms,8849.0,0.2180381283511349,0.1983294148983058,0.021425377967408128,0.08161147232612814,0.14580528917180172,0.2891453732839499,1.2528788828282793,1.6054728759201065,5.162323699199464
tan_kurt,8849.0,2.851074780549669,0.8293001131990725,1.5301416786408846,2.2147604051140855,2.859641363356687,3.212040096057389,9.428182565080991,1.2515814854885101,6.300693984530863
tan_crest,8849.0,3.489329266019118,0.8615622719008112,1.7023653236347867,2.8254243010219526,3.5221491993046796,3.990590087462991,12.806996336355557,0.771688002574185,6.447014487019922
tan_spec_centroid,8849.0,368.14247314021554,197.1660876662574,28.01080481803354,177.92283776373583,393.3294445980084,510.2283586509004,1097.9086607621896,0.11247783257129287,2.5168847517795796
tan_spec_spread,8849.0,336.1980091154437,88.89674428130479,88.33170709816095,287.7424300666866,347.3838628941678,392.94539904454723,539.9273864846554,-0.4200991377511999,2.6512452688496273
tan_freq_median,8849.0,265.37105656766954,222.52326336034992,11.268028846153847,48.82812500000001,232.8725961538462,405.6490384615385,1284.5552884615386,0.9494059576020251,3.8038531774040503
tan_freq_rolloff85,8849.0,677.3576449859611,395.2302931213695,18.78004807692308,289.2127403846154,781.2500000000001,972.8064903846155,1434.7956730769233,-0.4298572347694471,1.9279179808583145
axial_ratio,8849.0,1.297373725845494,0.7210292373580328,0.29041426896215444,0.7258361921973431,1.1883822817425134,1.7057883673323895,4.035528078448545,0.8884178282148599,3.5581651501161864
radial_ratio,8849.0,0.5658822749528628,0.3193976016412943,0.1808581438639561,0.3255700421014176,0.45835402304212164,0.6897493728469102,1.6881393437673453,1.1495625551984374,3.3035616409962443
