file,gt,pred,confidence,rpm,duration_orig,duration_unified,shaft_amp,two_x_ratio,bearing_energy,env_kurtosis,gradcam_peak_order
109.mat,Bearing,Bearing,1.0,1797.0,20.328166666666668,1.0,0.0,431995.3125,0.5037348866462708,-1.095794439315796,0.6810176125244618
122.mat,Bearing,Bearing,1.0,1797.0,20.394916666666667,1.0,0.46517106890678406,0.7241098284721375,0.37632665038108826,-1.1886695623397827,0.5636007827788649
97(1).mat,Bearing,Bearing,1.0,1797.0,20.328166666666668,1.0,0.8966130614280701,1.027163028717041,0.2985023260116577,-0.9134900569915771,0.09393346379647749
98.mat,Bearing,Bearing,1.0,1797.0,40.32525,1.0,1.0,0.9025737643241882,0.33671078085899353,-1.0278974771499634,0.07045009784735812
B007_1_123.mat,Bearing,Bearing,1.0,1797.0,40.61533333333333,1.0,0.7155479192733765,0.887286365032196,0.403909295797348,-1.186521053314209,0.5636007827788649
B014_1_190.mat,Bearing,Bearing,1.0,1797.0,40.51866666666667,1.0,0.9973226189613342,0.5413831472396851,0.48452213406562805,-1.2182797193527222,0.5636007827788649
B021_1_227.mat,Bearing,Bearing,1.0,1797.0,40.567,1.0,0.4886280596256256,0.7089889049530029,0.5366675853729248,-1.0645265579223633,0.5166340508806262
IR007_1_110.mat,Bearing,Bearing,1.0,1797.0,40.51866666666667,1.0,0.25919100642204285,1.1850754022598267,0.49093979597091675,-1.078291654586792,0.6810176125244618
IR014_1_175.mat,Bearing,Bearing,1.0,1797.0,40.760416666666664,1.0,0.9114726185798645,0.7567116618156433,0.4082496464252472,-1.1606004238128662,0.7045009784735812
IR021_1_214.mat,Bearing,Bearing,1.0,1797.0,40.42191666666667,1.0,0.4718240797519684,0.9706035852432251,0.6192299723625183,-1.0124717950820923,0.5166340508806262
OR007_6_1_136.mat,Bearing,Bearing,1.0,1797.0,40.567,1.0,0.24728627502918243,1.2130866050720215,0.3250506520271301,-1.2286012172698975,0.5870841487279843
OR014_6_1_202.mat,Bearing,Bearing,1.0,1797.0,40.373583333333336,1.0,0.6456179618835449,0.8425049781799316,0.4018929898738861,-1.1874245405197144,0.5636007827788649
OR021_6_1_239.mat,Bearing,Bearing,1.0,1797.0,40.760416666666664,1.0,0.24662354588508606,2.3954195976257324,0.4254065454006195,-1.297060489654541,0.5870841487279843
Time_Normal_1_098.mat,Bearing,Bearing,1.0,1797.0,40.32525,1.0,1.0,0.9025737643241882,0.33671078085899353,-1.0278974771499634,0.07045009784735812
