sample_id,original_class,gt,pred,confidence,duration_orig,duration_unified,shaft_amp,two_x_ratio,bearing_energy,env_kurtosis,gradcam_peak_order,signal_sufficient
0,1,Bearing,Bearing,0.9999998807907104,0.20005602240896359,1.0,0.7149916887283325,1.3310389518737793,0.47919178009033203,-1.2667245864868164,0.3287671232876712,False
1,1,Bearing,Bearing,0.9999973773956299,0.20005602240896359,1.0,0.20331336557865143,4.918491840362549,0.539717972278595,-0.7191007137298584,0.3287671232876712,False
2,1,Bearing,Bearing,0.9999992847442627,0.20005602240896359,1.0,0.7230278253555298,1.383070707321167,0.4802868366241455,-1.1374913454055786,0.3287671232876712,False
3,1,Bearing,Misalignment,0.9781284928321838,0.20005602240896359,1.0,0.635651171207428,1.5731873512268066,0.46795645356178284,-0.9503698348999023,0.14090019569471623,False
4,1,Bearing,Bearing,0.9999954700469971,0.20005602240896359,1.0,0.7347338795661926,1.3610351085662842,0.516214907169342,-1.1795482635498047,0.3287671232876712,False
5,1,Bearing,Bearing,0.9999984502792358,0.20005602240896359,1.0,0.5414331555366516,1.80964994430542,0.4986938536167145,-1.039595603942871,0.3287671232876712,False
6,1,Bearing,Bearing,0.9999808073043823,0.20005602240896359,1.0,0.5326792001724243,1.8772989511489868,0.4508689343929291,-0.06154441833496094,0.09393346379647749,False
7,1,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.552646279335022,1.8094723224639893,0.49972665309906006,-0.8138210773468018,0.3287671232876712,False
8,1,Bearing,Bearing,0.9998071789741516,0.20005602240896359,1.0,0.25584039092063904,3.9086713790893555,0.45446324348449707,-0.35920143127441406,0.09393346379647749,False
9,1,Bearing,Bearing,0.9994111061096191,0.20005602240896359,1.0,0.7521869540214539,1.3294548988342285,0.5408323407173157,-0.9467418193817139,0.3287671232876712,False
10,1,Bearing,Bearing,0.9651749730110168,0.20005602240896359,1.0,0.6206075549125671,1.6113215684890747,0.4842820465564728,-1.0597281455993652,0.5870841487279843,False
11,1,Bearing,Bearing,0.9258081912994385,0.20005602240896359,1.0,0.6450445055961609,1.5260967016220093,0.4940456748008728,-0.8480100631713867,0.07045009784735812,False
12,1,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.8990658521652222,0.9545968770980835,0.496099591255188,-1.052879810333252,0.1643835616438356,False
13,1,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.2710089385509491,3.689901351928711,0.5673401951789856,-0.6841750144958496,0.3522504892367906,False
14,1,Bearing,Bearing,0.5106725096702576,0.20005602240896359,1.0,0.614835798740387,1.6264477968215942,0.4900439977645874,-1.225536584854126,0.3287671232876712,False
15,1,Bearing,Misalignment,0.885898768901825,0.20005602240896359,1.0,0.8106929063796997,1.2163457870483398,0.5111932158470154,-1.190462589263916,0.14090019569471623,False
16,1,Bearing,Misalignment,0.9706648588180542,0.20005602240896359,1.0,0.7651240229606628,1.3069759607315063,0.4776047170162201,-0.979132890701294,0.14090019569471623,False
17,1,Bearing,Bearing,0.9856337904930115,0.20005602240896359,1.0,0.7269526720046997,1.375603437423706,0.5168461203575134,-1.139263391494751,0.3287671232876712,False
18,1,Bearing,Misalignment,0.4546184241771698,0.20005602240896359,1.0,0.5897390246391296,1.6123377084732056,0.48809289932250977,-0.9353775978088379,0.1643835616438356,False
19,1,Bearing,Bearing,0.9997943043708801,0.20005602240896359,1.0,0.6851438283920288,1.459545373916626,0.5107020735740662,-0.963585376739502,0.07045009784735812,False
20,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.17732249200344086,1.9691541194915771,0.3095831871032715,-1.352621078491211,0.6105675146771037,False
21,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.15925145149230957,3.384401798248291,0.3990761637687683,-1.2428394556045532,0.5401174168297456,False
22,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.15531839430332184,3.1870625019073486,0.36797329783439636,-1.0560086965560913,0.5870841487279843,False
23,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.25431954860687256,2.3267858028411865,0.34670257568359375,-1.1712507009506226,0.6340508806262231,False
24,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.1879548877477646,2.9702978134155273,0.2907581329345703,-1.259905219078064,0.6105675146771037,False
25,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.37974485754966736,2.0937607288360596,0.40617993474006653,-1.15447998046875,0.6105675146771037,False
26,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.03571653366088867,23.64196014404297,0.4331513047218323,-1.1104297637939453,0.21135029354207435,False
27,2,Bearing,Bearing,1.0,0.20005602240896359,1.0,0.2773326337337494,0.5828152298927307,0.3687179386615753,-0.9956099987030029,0.5166340508806262,False
