Filename,Ground_Truth,Prediction,Confidence,Avg_RPM
0D.csv,Normal,Imbalance,1.0000,780.8
0D.csv,Normal,Imbalance,1.0000,780.8
0D.csv,Normal,Imbalance,1.0000,780.8
0D.csv,Normal,Imbalance,1.0000,780.8
0D.csv,Normal,Imbalance,1.0000,770.8
0D.csv,Normal,Imbalance,1.0000,770.8
0D.csv,Normal,Imbalance,1.0000,770.8
0D.csv,Normal,Imbalance,1.0000,770.8
0D.csv,Normal,Imbalance,1.0000,769.7
0D.csv,Normal,Imbalance,1.0000,769.7
0D.csv,Normal,Imbalance,1.0000,769.7
0D.csv,Normal,Imbalance,1.0000,769.7
0D.csv,Normal,Imbalance,1.0000,786.3
0D.csv,Normal,Imbalance,1.0000,786.3
0D.csv,Normal,Imbalance,1.0000,786.3
0D.csv,Normal,Imbalance,1.0000,786.3
0D.csv,Normal,Imbalance,1.0000,795.0
0D.csv,Normal,Imbalance,1.0000,795.0
0D.csv,Normal,Imbalance,1.0000,795.0
0D.csv,Normal,Imbalance,1.0000,795.0
0D.csv,Normal,Imbalance,1.0000,796.6
0D.csv,Normal,Imbalance,1.0000,796.6
0D.csv,Normal,Imbalance,1.0000,796.6
0D.csv,Normal,Imbalance,1.0000,796.6
0D.csv,Normal,Imbalance,1.0000,778.8
0D.csv,Normal,Imbalance,1.0000,778.8
0D.csv,Normal,Imbalance,1.0000,778.8
0D.csv,Normal,Imbalance,1.0000,778.8
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,797.6
0D.csv,Normal,Imbalance,1.0000,797.6
0D.csv,Normal,Imbalance,1.0000,797.6
0D.csv,Normal,Imbalance,1.0000,797.6
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,792.3
0D.csv,Normal,Imbalance,1.0000,789.3
0D.csv,Normal,Imbalance,1.0000,789.3
0D.csv,Normal,Imbalance,1.0000,789.3
0D.csv,Normal,Imbalance,1.0000,789.3
0D.csv,Normal,Imbalance,1.0000,799.8
0D.csv,Normal,Imbalance,1.0000,799.8
0D.csv,Normal,Imbalance,1.0000,799.8
0D.csv,Normal,Imbalance,1.0000,799.8
0D.csv,Normal,Imbalance,1.0000,807.6
0D.csv,Normal,Imbalance,1.0000,807.6
0D.csv,Normal,Imbalance,1.0000,807.6
0D.csv,Normal,Imbalance,1.0000,807.6
0D.csv,Normal,Imbalance,1.0000,802.7
0D.csv,Normal,Imbalance,1.0000,802.7
0D.csv,Normal,Imbalance,1.0000,802.7
0D.csv,Normal,Imbalance,1.0000,802.7
0D.csv,Normal,Imbalance,1.0000,812.2
0D.csv,Normal,Imbalance,1.0000,812.2
0D.csv,Normal,Imbalance,1.0000,812.2
0D.csv,Normal,Imbalance,1.0000,812.2
0D.csv,Normal,Imbalance,1.0000,810.6
0D.csv,Normal,Imbalance,1.0000,810.6
0D.csv,Normal,Imbalance,1.0000,810.6
0D.csv,Normal,Imbalance,1.0000,810.6
0D.csv,Normal,Imbalance,1.0000,820.2
0D.csv,Normal,Imbalance,1.0000,820.2
0D.csv,Normal,Imbalance,1.0000,820.2
0D.csv,Normal,Imbalance,1.0000,820.2
0D.csv,Normal,Imbalance,1.0000,812.6
0D.csv,Normal,Imbalance,1.0000,812.6
0D.csv,Normal,Imbalance,1.0000,812.6
0D.csv,Normal,Imbalance,1.0000,812.6
0D.csv,Normal,Imbalance,1.0000,822.1
0D.csv,Normal,Imbalance,1.0000,822.1
0D.csv,Normal,Imbalance,1.0000,822.1
0D.csv,Normal,Imbalance,1.0000,822.1
0D.csv,Normal,Imbalance,1.0000,830.4
0D.csv,Normal,Imbalance,1.0000,830.4
0D.csv,Normal,Imbalance,1.0000,830.4
0D.csv,Normal,Imbalance,1.0000,830.4
0D.csv,Normal,Imbalance,1.0000,827.5
0D.csv,Normal,Imbalance,1.0000,827.5
0D.csv,Normal,Imbalance,1.0000,827.5
0D.csv,Normal,Imbalance,1.0000,827.5
0D.csv,Normal,Imbalance,1.0000,822.2
0D.csv,Normal,Imbalance,1.0000,822.2
0D.csv,Normal,Imbalance,1.0000,822.2
