file,gt,pred,confidence,rpm,rpm_confidence
109.mat,Normal,REJECTED,0.5146203637123108,3632.8125,0.14594115260447887
122.mat,Normal,REJECTED,0.5339902639389038,1006.5951316338583,0.18034872452612727
97(1).mat,Normal,REJECTED,0.4375901222229004,1267.565022882436,0.18005415573803923
98.mat,Normal,REJECTED,0.559289276599884,3515.625,0.09266442920522555
B007_1_123.mat,Normal,Normal,0.7952494025230408,3515.625,0.04700743044578402
B014_1_190.mat,Normal,Normal,0.7294286489486694,1757.8125,0.28972740372034167
B021_1_227.mat,Normal,Normal,0.8462531566619873,2070.225148922722,0.22765761782712396
IR007_1_110.mat,Normal,Normal,0.9932591915130615,1867.5577954121238,0.21183965569535967
IR014_1_175.mat,Normal,REJECTED,0.5919317603111267,1017.1862890477353,0.2564878037472649
IR021_1_214.mat,Normal,REJECTED,0.6844969391822815,1144.8214224426542,0.23729433187086577
OR007_6_1_136.mat,Normal,REJECTED,0.4258325397968292,1763.7320855467347,0.2099076956634739
OR014_6_1_202.mat,Normal,Normal,0.8058916926383972,2119.10290925966,0.18232298188597096
OR021_6_1_239.mat,Normal,Normal,0.8209657073020935,1040.64984169326,0.2754679962196988
Time_Normal_1_098.mat,Normal,REJECTED,0.559289276599884,3515.625,0.09266442920522555
